Rider,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
POELS Wouter,0,1,1,33,33,38,38,945,945,945,1309,1309,2154,2154,4019
BURGHARDT Marcus,0,1244,2159,2353,2353,2422,3915,10219,10956,11146,11444,11444,11444,10737,13303
LANCASTER Brett Daniel,0,1735,2348,2448,3456,3501,4954,12101,14553,14553,14934,15318,20216,20216,23452
BONNET William,0,1735,2601,2719,3727,3732,5225,12232,14832,14832,15344,15344,15344,15344,22620
DUPONT Hubert,0,1244,1746,1849,1849,2407,2407,3029,3029,3209,3643,3643,3643,3643,5357
VAN DEN BROECK Jurgen,0,1,1,17,17
SCHLECK Andy,0,1,1,29,29,34,34,400,400,400,832,832,832,832,1914
FEILLU Brice,0,1,1,110,110,115,1608,4737,11000,11623,12057,12806,14033,14033,15256
BOECKMANS Kris,0,1735,2650,2722,3730,4248,5741,12848,15448,15817,20342,20342,21227,21532,24400
LEVARLET Guillaume,0,1244,1244,1415,1415,1933,1933,4237,10729,10909,11411,11411,12638,12638,14046
ROCHE Nicolas,0,1,1,9,9,14,14,410,3010,3150,3413,3413,3315,3315,4954
MURAVYEV Dmitriy,0,1735,2650,2757,3805,4541,10034,13141,15741,20113,20624,20924,21826,21826,24602
AMADOR Andrey,0,1,1,20,20,25,25,849,2855,3035,3442,3442,4709,4709,5943
ROJAS Jos Joaquin,0,1244,1244,1303,1303,1303,2806,5110,11333,11333,11744,11744,12629,11912,13832
ERVITI Imanol,0,1735,2601,2620,3517,3522,5015,11909,13037,13217,13627,13627,14854,14223,20959
IRIZAR Markel,0,407,1322,1350,1350,1355,2848,5152,11752,11752,12120,12120,13005,13005,14925
TERPSTRA Niki,0,1735,2650,2650,2650,3044,4537,11644,14244,14244,14631,14631,14522,14522,21327
TRENTIN Matteo,0,1735,2601,2601,2601,2900,4353,11500,13723,13723,14203,14203,14203,13446,20722
KING Edward,0,1735,2650
STEEGMANS Gert,0,1735,2650,2702,2702,2707,4200,11104,13704,13704,14156,14156,15054,15054,22330
CASTROVIEJO NICOLAS Jonathan,0,407,1322,1341,1341,1405,2858,5036,10154,10154,10334,10334,11601,11601,14837
VUILLERMOZ Alexis,0,1,230,339,339,344,344,1548,3427,3543,4011,4011,4856,4856,10347
BARDET Romain,0,1,1,104,104,109,109,335,709,709,1137,1137,2035,2035,2350
LAGUTIN Sergey,0,1,1,33,1051,1056,2549,4328,10207,10207,10634,10634,11536,11536,13456
MINARD Sbastien,0,1735,2601,2704,3156,3714,5207,12101,14324,14324,14818,14818,14818,14818,21646
KLDEN Andreas,0,1,1,29,29,34,34,526,3018,3043,3413,3413,3413,3413,4455
MEYER Cameron,0,1735,1735,1906,2914,3624,5117,12224,14716,14906,15250,15521,20748,20748,23055
JEANNESSON Arnold,0,1,1,42,42,47,47,911,3134,3134,3605,3605,3605,3605,5611
PORTE Richie,0,1,1,3,3,8,8,51,1830,2010,2119,2119,3004,3004,3253
TAARAME Rein,0,539,1152,1336,1336,1854,1854,2806,5258,5438,5716,5716,10601,10601,13509
ROY Jrmy,0,1735,2115,2156,3204,3209,3209,10109,12352,12532,12703,13003,14230,14230,20943
STANNARD Ian,0,1735,2601,2603,3611,3616,5109,12216,14816,14816,15142,15142,15227,15227,22106
LOBATO DEL VALLE Juan Jos,0,1735,2601,2814,2814,2814,4307,11414,14014,14014,14615,14615,15517,15517,22807
BRAJKOVIC Janez,0,1,1,56,56,1144
SABATINI Fabio,0,1735,2601,2634,2634,2639,2639,5543,11806,11806,12336,12336,13221,13221,15957
BAGOT Yoann,0,1244
MORENO FERNANDEZ Daniel,0,1,1,28,28,33,33,436,436,616,934,934,1836,1836,2142
REZA Kvin,0,1735,2601,2744,2744,3302,4755,11659,13705,13705,14054,14054,15008,15313,22549
GALLOPIN Tony,0,1,503,531,531,536,536,2315,4321,4321,4546,4546,5813,5813,11509
DE KORT Koen,0,1735,2650,2836,3844,3930,5423,12530,15130,15253,15756,15756,15756,15756,22532
VANDBORG Brian,0,1244,2159,2232,2232,2750,4243,11350,14010,14150,14545,14545,15812,15812,23048
TUFT Svein,0,1735,2601,2600,3323,4033,5526,12633,15125,20007,20130,20531,21416,21416,24652
MORI Manuele,0,1,1,116,116,121,121,2329,4552,4552,4959,5400,10302,10302,13038
KIRYIENKA Vasili,0,539,1405,1407,1407,1412,2905,4432
